District,Location,House_Type,Bedrooms,Bathrooms,Area_sqft,Age_Years,Price,Year,Annual_Appreciation_Rate
Chennai,Urban,Apartment,3,2,1800,6,5090000,2024,6
Coimbatore,Semi-Urban,House,3,2,2000,12,4010000,2023,5
Mumbai,Urban,    Villa,4,3,2500,8,11000000,2022,7
Delhi,Urban,Apartment,2,2,1200,10,8500000,2023,8
Bangalore,Semi-Urban,House,3,3,2200,15,7500000,2022,6
Hyderabad,Urban,Villa,5,4,3500,2,9500000,2024,9
Pune,Semi-Urban,Apartment,2,2,1100,5,8000000,2023,6
Chennai,Urban,Villa,4,3,2800,7,11000000,2024,7
Jaipur,Urban,House,3,2,2200,9,9000000,2022,5
Mumbai,Urban,Apartment,2,2,1300,3,7400000,2024,8
Delhi,Urban,House,4,3,2700,95000000,2022,7
Bangalore,Semi-Urban,Villa,5,4,3300,5,13000000,2023,6
Coimbatore,Semi-Urban,Apartment,3,2,1500,8,300000,2022,6
Chennai,Urban,House,4,3,2500,12,480000,2023,7
Mumbai,Urban,Apartment,1,1,800,7,150000,2024,9
Delhi,Urban,House,5,4,4000,5,900000,2023,4
Bangalore,Urban,Villa,3,2,2300,4,550000,2024,7
Hyderabad,Urban,Apartment,2,1,1000,3,180000,2023,6
Pune,Semi-Urban,House,3,2,2000,10,350000,2022,5
Chennai,Urban,House,3,2,2100,7,380000,2024,6
Jaipur,Urban,Villa,4,3,3000,15,650000,2022,4
Mumbai,Urban,Apartment,3,3,1600,9,350000,2023,8
Delhi,Urban,House,2,2,1500,5,275000,2024,7
Bangalore,Semi-Urban,Villa,4,3,2700,12,600000,2023,6
Coimbatore,Semi-Urban,Apartment,2,1,1000,6,180000,2023,9
Chennai,Urban,Villa,3,3,2300,10,550000,2022,7
Hyderabad,Urban,Apartment,3,2,1400,4,250000,2024,6
Pune,Urban,House,5,4,3500,8,700000,2023,5
Chennai,Urban,Apartment,1,1,900,2,170000,2024,9
Delhi,Urban,Villa,3,2,2000,6,460000,2023,7
Mumbai,Urban,House,4,3,2700,14,550000,2024,6
Bangalore,Semi-Urban,Apartment,2,2,1200,7,230000,2023,6
Hyderabad,Urban,House,3,2,2300,12,420000,2024,7
Pune,Semi-Urban,Villa,4,3,2600,9,650000,2023,6
Chennai,Urban,House,4,3,2400,11,460000,2024,5
Jaipur,Urban,Apartment,3,2,1400,5,280000,2023,7
Mumbai,Urban,Villa,4,3,3100,3,720000,2024,4
Delhi,Urban,Apartment,2,1,1100,6,200000,2023,6
Bangalore,Urban,House,3,2,2000,4,400000,2024,7
Hyderabad,Semi-Urban,Villa,4,3,2800,9,650000,2023,6
Pune,Urban,Apartment,2,2,1000,3,190000,2023,6
Chennai,Urban,Villa,5,4,3500,10,700000,2022,5
Coimbatore,Semi-Urban,House,3,2,2100,13,380000,2024,6
Bangalore,Semi-Urban,Apartment,2,1,800,6,150000,2023,5
Delhi,Urban,Apartment,3,2,1400,5,250000,2024,6
Mumbai,Urban,House,4,3,2700,14,550000,2024,5
Hyderabad,Urban,Villa,5,4,4000,7,850000,2023,8
Chennai,Urban,House,3,2,2200,6,410000,2023,6
Coimbatore,Urban,Villa,3,3,2800,7,630000,2023,7
Bangalore,Semi-Urban,House,2,1,900,8,180000,2023,4
